        ***************************************************************
        **                                                           **
        **                  FLUTTER SUMMARY                          **
        **                                                           **
        ***************************************************************




PARAMETERS USED FOR AEROELASTIC ANALYSIS

AEROELASTIC BASE SIZE:                        4
REDUCED FREQUENCIES NUMBER:                   6


REDUCED FREQUENCY LIST:

0.00010  
0.10000  
0.20000  
0.50000  
0.80000  
1.00000  


REFERENCE CHORD:                          2.194500e+00
REFERENCE DENSITY:                             8.500000e-01
STRUCTURAL DAMPING:                            0


                    FREQUENCY SWEEP

DELTA V:                                       12.6274
MAXIMUM VELOCITY:                              631.37
MAXIMUM DELTA V:                               10
MINIMUM DELTA V:                               0.01
CONVERGENCE CRITERION (%):                     0.001 
ERROR CRITERION FOR STEP INCREASING (%):       0.001 
MAXIMUM NUMBER OF ITERATIONS FOR FIRST STEP:   100 
MAXIMUM NUMBER OF ITERATIONS DURING SWEEP:     101 




MODE NUMBER: 2, OMEGA: 6.059766.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder
0.224996            382.627400          -0.000358           6.243616            -0.001118           39.229794           -0.000000           0.000006            
0.219268            392.627400          -0.000400           6.243680            -0.001250           39.230196           -0.000000           0.000006            
0.213824            402.627400          -0.000448           6.243745            -0.001398           39.230607           -0.000000           0.000007            
0.208645            412.627400          -0.000501           6.243812            -0.001564           39.231026           -0.000000           0.000007            
0.203710            422.627400          -0.000560           6.243880            -0.001749           39.231454           -0.000001           0.000007            
0.199004            432.627400          -0.000627           6.243949            -0.001957           39.231890           -0.000001           0.000007            
0.194510            442.627400          -0.000701           6.244020            -0.002189           39.232333           -0.000001           0.000007            
0.190215            452.627400          -0.000784           6.244091            -0.002448           39.232782           -0.000001           0.000007            
0.186105            462.627400          -0.000877           6.244164            -0.002737           39.233237           -0.000001           0.000007            
0.182170            472.627400          -0.000980           6.244236            -0.003060           39.233694           -0.000001           0.000007            
0.178397            482.627400          -0.001095           6.244309            -0.003420           39.234151           -0.000001           0.000007            
0.174778            492.627400          -0.001224           6.244381            -0.003822           39.234604           -0.000001           0.000007            
0.171302            502.627400          -0.001367           6.244452            -0.004268           39.235048           -0.000001           0.000007            
0.167963            512.627400          -0.001525           6.244520            -0.004762           39.235478           -0.000001           0.000007            
0.164751            522.627400          -0.001700           6.244585            -0.005308           39.235885           -0.000001           0.000006            
0.161659            532.627400          -0.001892           6.244645            -0.005907           39.236260           -0.000002           0.000006            
0.158681            542.627400          -0.002101           6.244698            -0.006561           39.236594           -0.000002           0.000005            
0.155811            552.627400          -0.002327           6.244742            -0.007267           39.236873           -0.000002           0.000004            
0.153042            562.627400          -0.002569           6.244776            -0.008022           39.237086           -0.000002           0.000003            
0.150370            572.627400          -0.002824           6.244797            -0.008818           39.237217           -0.000002           0.000001            
0.147789            582.627400          -0.003089           6.244803            -0.009644           39.237255           -0.000002           -0.000000           
0.145295            592.627400          -0.003358           6.244792            -0.010485           39.237187           -0.000002           -0.000002           
0.142884            602.627400          -0.003626           6.244763            -0.011321           39.237005           -0.000002           -0.000004           
0.140550            612.627400          -0.003885           6.244716            -0.012129           39.236706           -0.000002           -0.000006           
0.138291            622.627400          -0.004127           6.244650            -0.012885           39.236292           -0.000002           -0.000007           
0.136375            631.370000          -0.004319           6.244578            -0.013485           39.235843           -0.000002           -0.000009           


MODE NUMBER: 4, OMEGA: 11.139124.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder

12.143075           12.627400           -0.040356           11.120573           -0.224389           69.872619           -0.000252           -0.001376           
6.768596            22.627400           -0.071798           11.107538           -0.398748           69.790720           -0.000248           -0.001231           
4.689180            32.627400           -0.102796           11.095935           -0.570308           69.717816           -0.000245           -0.001090           
3.585842            42.627400           -0.133360           11.085737           -0.739199           69.653738           -0.000242           -0.000950           
2.902168            52.627400           -0.163499           11.076919           -0.905534           69.598335           -0.000238           -0.000813           
2.437123            62.627400           -0.193218           11.069460           -1.069412           69.551470           -0.000235           -0.000679           
2.100396            72.627400           -0.222522           11.063341           -1.230921           69.513021           -0.000232           -0.000546           
1.845395            82.627400           -0.251413           11.058544           -1.390131           69.482882           -0.000228           -0.000414           
1.645648            92.627400           -0.279890           11.055055           -1.547101           69.460958           -0.000225           -0.000284           
1.485001            102.627400          -0.307952           11.052860           -1.701873           69.447166           -0.000222           -0.000155           
1.353039            112.627400          -0.335592           11.051948           -1.854473           69.441436           -0.000218           -0.000027           
1.242742            122.627400          -0.362804           11.052310           -2.004913           69.443711           -0.000215           0.000100            
1.149210            132.627400          -0.389578           11.053938           -2.153188           69.453941           -0.000211           0.000226            
1.068915            142.627400          -0.415902           11.056827           -2.299277           69.472092           -0.000208           0.000352            
0.999255            152.627400          -0.441758           11.060972           -2.443139           69.498135           -0.000204           0.000477            
0.938265            162.627400          -0.467153           11.066337           -2.584838           69.531845           -0.000200           0.000593            
0.884427            172.627400          -0.492171           11.072769           -2.724848           69.572257           -0.000198           0.000691            
0.836553            182.627400          -0.516899           11.080108           -2.863648           69.618370           -0.000196           0.000774            
0.793705            192.627400          -0.541409           11.088213           -3.001631           69.669297           -0.000194           0.000845            
0.755129            202.627400          -0.565755           11.096963           -3.139083           69.724273           -0.000193           0.000904            
0.720218            212.627400          -0.589957           11.106260           -3.276109           69.782691           -0.000192           0.000954            
0.688472            222.627400          -0.614023           11.116019           -3.412746           69.844005           -0.000191           0.000996            
0.659477            232.627400          -0.637954           11.126156           -3.548987           69.907700           -0.000190           0.001030            
0.632890            242.627400          -0.661744           11.136593           -3.684785           69.973275           -0.000189           0.001056            
0.608419            252.627400          -0.685381           11.147250           -3.820057           70.040237           -0.000187           0.001074            
0.585819            262.627400          -0.708848           11.158049           -3.954678           70.108088           -0.000186           0.001084            
0.564881            272.627400          -0.732119           11.168908           -4.088487           70.176318           -0.000184           0.001086            
0.545422            282.627400          -0.755165           11.179743           -4.221277           70.244399           -0.000182           0.001079            
0.527289            292.627400          -0.777947           11.190467           -4.352798           70.311778           -0.000180           0.001064            
0.510344            302.627400          -0.800419           11.200986           -4.482742           70.377868           -0.000177           0.001038            
0.494471            312.627400          -0.822524           11.211199           -4.610743           70.442044           -0.000174           0.001003            
0.479563            322.627400          -0.844189           11.221004           -4.736326           70.503645           -0.000170           0.000956            
0.465531            332.627400          -0.865318           11.230287           -4.858887           70.561972           -0.000166           0.000898            
0.452291            342.627400          -0.885801           11.238929           -4.977727           70.616272           -0.000160           0.000828            
0.439773            352.627400          -0.905507           11.246801           -5.092031           70.665737           -0.000153           0.000744            
0.427910            362.627400          -0.924285           11.253766           -5.200843           70.709500           -0.000145           0.000646            
0.416645            372.627400          -0.941951           11.259677           -5.303030           70.746639           -0.000136           0.000533            
0.405926            382.627400          -0.958285           11.264380           -5.397240           70.776184           -0.000124           0.000404            
0.395704            392.627400          -0.973020           11.267714           -5.481854           70.797136           -0.000110           0.000260            
0.385938            402.627400          -0.985830           11.269522           -5.554917           70.808497           -0.000093           0.000099            
0.376589            412.627400          -0.996317           11.269655           -5.614076           70.809329           -0.000073           -0.000075           
0.367624            422.627400          -1.003994           11.267986           -5.656495           70.798846           -0.000048           -0.000260           
0.359014            432.627400          -1.008268           11.264440           -5.678790           70.776561           -0.000019           -0.000449           
0.350734            442.627400          -1.008433           11.259020           -5.676986           70.742510           0.000017            -0.000632           
0.342767            452.627400          -1.003665           11.251868           -5.646552           70.697572           0.000060            -0.000793           
0.335103            462.627400          -0.993051           11.243324           -5.582595           70.643890           0.000110            -0.000906           
0.327741            472.627400          -0.975663           11.234005           -5.480303           70.585335           0.000168            -0.000942           
0.320689            482.627400          -0.950700           11.224859           -5.335738           70.527870           0.000230            -0.000866           
0.313964            492.627400          -0.917687           11.217165           -5.146926           70.479528           0.000295            -0.000648           
0.307587            502.627400          -0.876696           11.212420           -4.914944           70.449711           0.000356            -0.000276           
0.301579            512.627400          -0.828468           11.212110           -4.644440           70.447763           0.000409            0.000234            
0.295949            522.627400          -0.774353           11.217443           -4.343131           70.481273           0.000450            0.000844            
0.290696            532.627400          -0.716060           11.229155           -4.020376           70.554863           0.000476            0.001502            
0.285804            542.627400          -0.655346           11.247471           -3.685494           70.669945           0.000488            0.002158            
0.281249            552.627400          -0.593764           11.272200           -3.346515           70.825320           0.000490            0.002780            
0.277003            562.627400          -0.532545           11.302888           -3.009646           71.018139           0.000483            0.003348            
0.273034            572.627400          -0.472582           11.338959           -2.679295           71.244783           0.000470            0.003856            
0.269314            582.627400          -0.414485           11.379814           -2.358380           71.501479           0.000454            0.004305            
0.265819            592.627400          -0.358642           11.424881           -2.048718           71.784645           0.000435            0.004700            
0.262523            602.627400          -0.305284           11.473648           -1.751360           72.091055           0.000414            0.005046            
0.259409            612.627400          -0.254538           11.525663           -1.466858           72.417879           0.000393            0.005351            
0.256458            622.627400          -0.206461           11.580539           -1.195467           72.762669           0.000372            0.005619            
0.253999            631.370000          -0.166587           11.630564           -0.968751           73.076989           0.000353            0.005828            


MODE NUMBER: 5, OMEGA: 13.660952.

Reduced Frequency   Velocity            Damping             Frequency           Real(Eig)           Imag(Eig)           Damp_Vder           Freq_Vder

14.915579           12.627400           -0.002410           13.659620           -0.016460           85.825921           -0.000015           -0.000103           
8.323145            22.627400           -0.004246           13.658615           -0.028994           85.819608           -0.000014           -0.000098           
5.771771            32.627400           -0.006023           13.657654           -0.041127           85.813570           -0.000014           -0.000094           
4.417469            42.627400           -0.007747           13.656737           -0.052897           85.807807           -0.000014           -0.000090           
3.577855            52.627400           -0.009423           13.655863           -0.064339           85.802316           -0.000013           -0.000085           
3.006379            62.627400           -0.011056           13.655032           -0.075483           85.797094           -0.000013           -0.000081           
2.592284            72.627400           -0.012650           13.654243           -0.086360           85.792137           -0.000013           -0.000077           
2.278427            82.627400           -0.014208           13.653495           -0.096995           85.787441           -0.000012           -0.000073           
2.032345            92.627400           -0.015735           13.652789           -0.107411           85.783003           -0.000012           -0.000069           
1.834224            102.627400          -0.017233           13.652123           -0.117633           85.778819           -0.000012           -0.000065           
1.671289            112.627400          -0.018705           13.651497           -0.127678           85.774885           -0.000012           -0.000061           
1.534933            122.627400          -0.020155           13.650910           -0.137566           85.771197           -0.000011           -0.000057           
1.419144            132.627400          -0.021584           13.650362           -0.147314           85.767753           -0.000011           -0.000053           
1.319594            142.627400          -0.022995           13.649852           -0.156937           85.764550           -0.000011           -0.000049           
1.233093            152.627400          -0.024389           13.649380           -0.166449           85.761585           -0.000011           -0.000045           
1.157233            162.627400          -0.025769           13.648946           -0.175862           85.758858           -0.000011           -0.000042           
1.090165            172.627400          -0.027137           13.648550           -0.185189           85.756368           -0.000011           -0.000038           
1.030445            182.627400          -0.028493           13.648191           -0.194439           85.754115           -0.000011           -0.000034           
0.976927            192.627400          -0.029839           13.647870           -0.203621           85.752099           -0.000011           -0.000030           
0.928695            202.627400          -0.031177           13.647584           -0.212742           85.750296           -0.000011           -0.000027           
0.885001            212.627400          -0.032505           13.647323           -0.221801           85.748659           -0.000011           -0.000025           
0.845233            222.627400          -0.033823           13.647082           -0.230794           85.747142           -0.000010           -0.000023           
0.808886            232.627400          -0.035131           13.646853           -0.239715           85.745707           -0.000010           -0.000022           
0.775534            242.627400          -0.036427           13.646632           -0.248555           85.744318           -0.000010           -0.000022           
0.744824            252.627400          -0.037710           13.646414           -0.257306           85.742945           -0.000010           -0.000022           
0.716452            262.627400          -0.038979           13.646194           -0.265955           85.741566           -0.000010           -0.000022           
0.690161            272.627400          -0.040230           13.645970           -0.274487           85.740160           -0.000010           -0.000023           
0.665730            282.627400          -0.041461           13.645740           -0.282883           85.738712           -0.000010           -0.000023           
0.642969            292.627400          -0.042669           13.645500           -0.291120           85.737206           -0.000010           -0.000024           
0.621711            302.627400          -0.043850           13.645250           -0.299170           85.735632           -0.000009           -0.000026           
0.601813            312.627400          -0.044999           13.644987           -0.307005           85.733983           -0.000009           -0.000027           
0.583148            322.627400          -0.046112           13.644712           -0.314590           85.732252           -0.000009           -0.000028           
0.565604            332.627400          -0.047182           13.644423           -0.321888           85.730441           -0.000008           -0.000029           
0.549084            342.627400          -0.048205           13.644122           -0.328860           85.728550           -0.000008           -0.000031           
0.533501            352.627400          -0.049174           13.643810           -0.335461           85.726586           -0.000007           -0.000032           
0.518776            362.627400          -0.050082           13.643488           -0.341644           85.724560           -0.000007           -0.000033           
0.504842            372.627400          -0.050921           13.643158           -0.347361           85.722487           -0.000006           -0.000033           
0.491636            382.627400          -0.051684           13.642823           -0.352557           85.720387           -0.000006           -0.000034           
0.479103            392.627400          -0.052362           13.642489           -0.357174           85.718288           -0.000005           -0.000033           
0.467192            402.627400          -0.052946           13.642161           -0.361151           85.716224           -0.000004           -0.000032           
0.455859            412.627400          -0.053427           13.641844           -0.364424           85.714236           -0.000003           -0.000031           
0.445063            422.627400          -0.053796           13.641547           -0.366928           85.712370           -0.000002           -0.000028           
0.434767            432.627400          -0.054041           13.641278           -0.368595           85.710679           -0.000001           -0.000025           
0.424937            442.627400          -0.054154           13.641046           -0.369357           85.709222           -0.000000           -0.000021           
0.415543            452.627400          -0.054123           13.640862           -0.369144           85.708063           0.000001            -0.000016           
0.406557            462.627400          -0.053939           13.640736           -0.367884           85.707275           0.000002            -0.000009           
0.397954            472.627400          -0.053590           13.640682           -0.365503           85.706935           0.000003            -0.000001           
0.389709            482.627400          -0.053066           13.640713           -0.361928           85.707127           0.000005            0.000008            
0.381802            492.627400          -0.052354           13.640843           -0.357079           85.707944           0.000006            0.000018            
0.374213            502.627400          -0.051444           13.641088           -0.350878           85.709483           0.000008            0.000031            
0.366923            512.627400          -0.050323           13.641464           -0.343241           85.711848           0.000010            0.000045            
0.359916            522.627400          -0.048978           13.641990           -0.334080           85.715149           0.000012            0.000061            
0.353176            532.627400          -0.047396           13.642683           -0.323303           85.719503           0.000014            0.000078            
0.346690            542.627400          -0.045561           13.643563           -0.310810           85.725033           0.000016            0.000098            
0.340444            552.627400          -0.043459           13.644650           -0.296494           85.731867           0.000018            0.000120            
0.334425            562.627400          -0.041072           13.645968           -0.280235           85.740143           0.000020            0.000144            
0.328623            572.627400          -0.038381           13.647537           -0.261904           85.750001           0.000023            0.000170            
0.323026            582.627400          -0.035364           13.649381           -0.241351           85.761591           0.000025            0.000199            
0.317625            592.627400          -0.031998           13.651527           -0.218412           85.775071           0.000028            0.000230            
0.312411            602.627400          -0.028255           13.653999           -0.192897           85.790604           0.000031            0.000264            
0.307375            612.627400          -0.024104           13.656825           -0.164589           85.808365           0.000035            0.000301            
0.302510            622.627400          -0.019508           13.660036           -0.133238           85.828538           0.000038            0.000341            
0.298389            631.370000          -0.015093           13.663182           -0.103110           85.848303           0.000042            0.000379            



                    FINAL RESULTS

FLUTTER NOT FOUND
DIVERGENCE NOT FOUND
